SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09																														
																																	
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Race Traits ~ Neanderthal	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Neanderthal Racial Traits	ABILITY:Neanderthal Subrace|AUTOMATIC|Neanderthal ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Uldras	CATEGORY:Internal				BONUS:VAR|AdvancementByClass|1																		ABILITY:Special Ability|AUTOMATIC|Uldras Racial Traits	ABILITY:Uldras Subrace|AUTOMATIC|Uldras ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Race Traits ~ Domovoi	CATEGORY:Internal																						ABILITY:Special Ability|AUTOMATIC|Domovoi Racial Traits	ABILITY:Domovoi Subrace|AUTOMATIC|Domovoi ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
																																	
###Block: Racial Assigned (assigned by race trait)																																	
Neanderthal Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Neanderthal Racial Traits																												
Uldras Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Uldras Racial Traits																												
Domovoi Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Domovoi Racial Traits																												
																																	
###Block: Traits																																	
# Dwarf ~ Glacier																																	
Icecunning	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality.Stonecunning	VISIBLE:YES	DESC:Glacier dwarves gain a +%1 racial bonus on Search checks to notice unusual construction or hazards in ice and snow. This includes traps of ice or snow, and natural or supernatural hazards such as thin ice or blood snow. A glacier dwarf who merely comes within 10 feet of unusual ice construction or hazards can make a Search check as if he were actively searching, and a glacier dwarf can use Search to find ice or snow traps as a rogue can..|IcecunningSearchBonus	KEY:Glacier Dwarf ~ Icecunning									BONUS:VAR|IcecunningSearchBonus|2|TYPE=Racial									ABILITY:Special Ability|AUTOMATIC|Icecunning									SOURCEPAGE:Fro	
Cold Tolerant	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Glacier dwarves gain a +2 racial bonus on saving throws against cold damage and cold effects. Glacier dwarves can also exist comfortably in conditions between -20° and 90° F (severe cold to hot) without having to make Fortitude saves (see Cold Dangers, page 8). This ability counts as if a glacier dwarf had the Cold Endurance feat for purposes of fulfi lling prerequisites for other feats or prestige classes.	KEY:Glacier Dwarf ~ Cold Tolerant																			SERVESAS:ABILITY=FEAT|Cold Endurance								SOURCEPAGE:Fro	
Appraise Skill Bonus	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Appraise checks that are related to stone or metal items: Dwarves are familiar with valuable items of all kinds, especially those made of stone or metal.|DwarfAppraiseSkillBonus	KEY:Glacier Dwarf ~ Appraise Skill Bonus				DEFINE:DwarfAppraiseSkillBonus|0					BONUS:VAR|DwarfAppraiseSkillBonus|2|TYPE=Racial	BONUS:SITUATION|Appraise=Snow, Ice or Frostfell object|DwarfAppraiseSkillBonus|TYPE=Racial																	SOURCEPAGE:Fro	ASPECT:SkillBonus|+%1 racial bonus on Appraise checks that are related to snow, metal or frostfell items.|DwarfAppraiseSkillBonus
Craft Skill Bonus	CATEGORY:Special Ability	TYPE:DwarfRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Craft checks that are related to stone or metal: Dwarves are especially capable with stonework and metalwork.|DwarfCraftSkillBonus	KEY:Glacier Dwarf ~ Craft Skill Bonus				DEFINE:DwarfCraftSkillBonus|0					BONUS:VAR|DwarfCraftSkillBonus|2|TYPE=Racial																		SOURCEPAGE:Fro	ASPECT:SkillBonus|+%1 racial bonus on Craft checks that are related to snow, ice or frostfell.|DwarfCraftSkillBonus
# Elf ~ Snow																																	
# Gnome ~ Ice																																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:GnomeRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES		KEY:Ice Gnome ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=1|CASTERLEVEL=1|Ice Gnome ~ Speak with Animals	SPELLS:Innate|TIMES=1|CASTERLEVEL=1|Dancing Light,10+CHA|Prestidigitation,10+CHA|Ray of Frost,10+CHA|PRESTAT:1,CHA=10								SOURCEPAGE:Fro	
# Halfling ~ Tundra																																	
