SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2024-08					
								
# Class Name	HD:	TYPE:PC.Base	DEFINE:	BONUS:VAR|				
# Class Name	Multiple Requirements							
# Class Name	SPELLSTAT:	MEMORIZE:	KNOWNSPELLS:	BONUS:CASTERLEVEL|	BONUS:VAR|SpellCasterTotalLVL|	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|	BONUS:DOMAIN|NUMBER|
# Class Level	CAST:	KNOWN:0,	ABILITY:					
CLASS:Barbarian	HD:12	TYPE:PC.BASE	MAXLEVEL:20	DEFINE:BarbarianLVL|0	BONUS:VAR|BarbarianLVL|CL			
CLASS:Barbarian	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Barbarian],[PRECLASS:1,Barbarian=1]							
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS							
1			ABILITY:Class|AUTOMATIC|Barbarian					
1			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Rage					
1			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Unarmored Defense					
1			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Weapon Mastery					
2			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Danger Sense					
2			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Reckless Attack					
3			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Barbarian Subclass					
3			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Primal Knowledge					
4			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Ability Score Improvement					
5			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Extra Attack					
5			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Fast Movement					
7			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Feral Instinct					
7			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Instinctive Pounce					
9			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Brutal Strike					
11			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Relentless Rage					
13			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Improved Brutal Strike					
15			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Persistent Rage					
18			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Indomitable Might					
19			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Epic Boon					
20			ABILITY:Barbarian Class Feature|AUTOMATIC|Barbarian ~ Primal Champion					
								
CLASS:Bard	HD:8	TYPE:PC.BASE	MAXLEVEL:20	DEFINE:BardLVL|0	BONUS:VAR|BardLVL|CL			
CLASS:Bard	PREMULT:1,[!PRETEMPLATE:1,First Level],[PREABILITY:1,CATEGORY=Internal,Multiclass Allowed ~ Bard],[PRECLASS:1,Bard=1]							
CLASS:Bard	SPELLSTAT:CHA	MEMORIZE:NO		BONUS:CASTERLEVEL|Bard|CL	BONUS:VAR|SpellCasterTotalLVL|BardLVL	BONUS:VAR|SpellCasterClassCount|1	FACT:SpellType|Arcane	
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS							
1	CAST:99,BardCast1	KNOWN:0,BardKnown1						
2	CAST:99,BardCast1	KNOWN:0,BardKnown1						
3	CAST:99,BardCast1,BardCast2	KNOWN:0,BardKnown1,BardKnown2						
4	CAST:99,BardCast1,BardCast2	KNOWN:0,BardKnown1,BardKnown2						
5	CAST:99,BardCast1,BardCast2,BardCast3	KNOWN:0,BardKnown1,BardKnown2,BardKnown3						
6	CAST:99,BardCast1,BardCast2,BardCast3	KNOWN:0,BardKnown1,BardKnown2,BardKnown3						
7	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4	KNOWN:0,BardKnown1,BardKnown2,BardKnown3,BardKnown4						
8	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4	KNOWN:0,BardKnown1,BardKnown2,BardKnown3,BardKnown4						
9	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5	KNOWN:0,BardKnown1,BardKnown2,BardKnown3,BardKnown4,BardKnown5						
10	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5	KNOWN:0,BardKnown1,BardKnown2,BardKnown3,BardKnown4,BardKnown5						
11	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6	KNOWN:0,BardKnown1,BardKnown2,BardKnown3,BardKnown4,BardKnown5,BardKnown6						
12	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6	KNOWN:0,BardKnown1,BardKnown2,BardKnown3,BardKnown4,BardKnown5,BardKnown6						
13	CAST:99,BardCast1,BardCast2,BardCast3,BardCast4,BardCast5,BardCast6,BardCast7	KNOWN:0,BardKnown1,BardKnown2,BardKnown3,BardKnown4,BardKnown5,BardKnown6,BardKnown7						
