SOURCELONG:Book of Vile Darkness	SOURCESHORT:BoVD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2002-10				
							
							
# Human							
Vashar	VISIBLE:NO	KEY:Human Vashar	SUBRACE:Vashar				
# Halfling							
Jerren	VISIBLE:NO	KEY:Jerren Halfling	SUBRACE:Jerren				
							
Languages	KEY:Halfling ~ Jerren ~ Languages	VISIBLE:NO	AUTO:LANG|Common|Halfling	LANGBONUS:Infernal,Abyssal,Goblin,Orc			
Favored Class	KEY:Halfling ~ Jerren ~ Favored Class	VISIBLE:NO	FAVOREDCLASS:Rogue				
							
###Block: Diseases							
Disease Damage (Acid Fever)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Stength Damage		TEMPDESC:Infection DC 18 (Injury), Incubation 1d3 days, Damage 1d6 Str (When damaged, character must succeed at another saving throw or 1 point of temporary damage is permanent drain instead), Apply this temporary bonus each day the victim takes damage.	TEMPBONUS:ANYPC|STAT|STR|-1*(%CHOICE)
Disease Damage (Blue Guts)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=4|TITLE=Stength Damage		TEMPDESC:Infection DC 14 (Special), Incubation 1d3 days, Damage 1d3 Str.	TEMPBONUS:ANYPC|STAT|STR|-1*(%CHOICE)
Disease Damage (Deathsong/Str Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=8|TITLE=Stength Damage		TEMPDESC:Infection DC 25 (Contact), Incubation 1 day, Damage 1d8 Str, 1d8 Dex and 1d8 Con.	TEMPBONUS:ANYPC|STAT|STR|-1*(%CHOICE)
Disease Damage (Deathsong/Dex Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=8|TITLE=Dexterity Damage		TEMPDESC:Infection DC 25 (Contact), Incubation 1 day, Damage 1d8 Str, 1d8 Dex and 1d8 Con.	TEMPBONUS:ANYPC|STAT|DEX|-1*(%CHOICE)
Disease Damage (Deathsong/Con Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=8|TITLE=Constitution Damage		TEMPDESC:Infection DC 25 (Contact), Incubation 1 day, Damage 1d8 Str, 1d8 Dex and 1d8 Con.	TEMPBONUS:ANYPC|STAT|CON|-1*(%CHOICE)
Disease Damage (Faceless Hate/Str Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Stength Damage		TEMPDESC:Infection DC 20 (Inury), Incubation 1d4 days, Damage 1d6 Str and 1d6 Con. Successful saves do not allow the character to recover. Only magical healing can save the character. 	TEMPBONUS:ANYPC|STAT|STR|-1*(%CHOICE)
Disease Damage (Faceless Hate/Con Damage)		VISIBLE:NO	SOURCEPAGE:BoVD	TEMPVALUE:MIN=1|MAX=6|TITLE=Constitution Damage		TEMPDESC:Infection DC 20 (Inury), Incubation 1d4 days, Damage 1d6 Str and 1d6 Con. Successful saves do not allow the character to recover. Only magical healing can save the character. The victim must makes three successful Fortitude saving throws to recover.	TEMPBONUS:ANYPC|STAT|CON|-1*(%CHOICE)
