SOURCELONG:Gozzilioni Dungeons Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07										
#													
# Class Name 1	Hit Dice (HD)	Type (TYPE:)	Abbreviation (ABB)	Max Level (MAXLEVEL)	Source Page (SOURCEPAGE)	Save checks bonus (Fortitude) (BONUS:SAVE)	Save checks bonus (Reflex)	Save checks bonus (Will)	Combat bonus	EXCLASS	CONTIGUOUS	FINE	
# Class Name req	Requirements	FINE											
# Class Name skill	Skill Pts/Lvl (STARTSKILLPTS)	Class Skill (CSKILL)						define class variables (DEFINE:variable|value	FINE		HASSUBSTITUTIONLEVEL	ALLOWBASECLASS	
# Class Name specast	Spell Statistic (SPELLSTAT)	Spell type (SPELLTYPE)	Spellbook (SPELLBOOK/MEMORIZE)	knowspell (KNOWNSPELLS)	spell level increases (BONUS:CASTERLEVEL)	SPELLLIST							
#(level number)	ADD:SPELLCASTER o CAST	FEATAUTO proficiency	(FEATAUTO)	(SAB)	(SAB)	(DOMAIN)	(BONUS)			(DEFINE)			
CLASS:Adept	HD:6	TYPE:NPC.Base	FACT:Abb|Adp	MAXLEVEL:NOLIMIT	SOURCEPAGE:DMG	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Adept	DEFINE:AdeptLVL|0	BONUS:VAR|AdeptLVL|CL
CLASS:Adept	STARTSKILLPTS:2	CSKILL:Concentration|TYPE.Craft|Handle animal|Heal|TYPE.Knowledge|TYPE.Profession|Spellcraft|Survival											
CLASS:Adept	SPELLSTAT:WIS	FACT:Spelltype|Divine	MEMORIZE:NO	KNOWNSPELLS:LEVEL=0|LEVEL=1|LEVEL=2|LEVEL=3|LEVEL=4|LEVEL=5|LEVEL=6|LEVEL=7|LEVEL=8|LEVEL=9	BONUS:CASTERLEVEL|Adept|CL								
1				ABILITY:Adept Class Feature|AUTOMATIC|Adept ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.AdeptProficiencies									
1				ABILITY:Adept Class Feature|AUTOMATIC|Adept ~ Spells									
#													
2				ABILITY:Adept Class Feature|AUTOMATIC|Adept ~ Familiar|!PREABILITY:1,CATEGORY=ACF,TYPE.AdeptFamiliar									
#													
1	CAST:3,1												
2	CAST:3,1												
3	CAST:3,2												
4	CAST:3,2,0												
5	CAST:3,2,1												
6	CAST:3,2,1												
7	CAST:3,3,2												
8	CAST:3,3,2,0												
9	CAST:3,3,2,1												
10	CAST:3,3,2,1												
11	CAST:3,3,3,2												
12	CAST:3,3,3,2,0												
13	CAST:3,3,3,2,1												
14	CAST:3,3,3,2,1												
15	CAST:3,3,3,3,2												
16	CAST:3,3,3,3,2,0												
17	CAST:3,3,3,3,2,1												
18	CAST:3,3,3,3,2,1												
19	CAST:3,3,3,3,3,2												
20	CAST:3,3,3,3,3,2												
													
CLASS:Aristocrat	HD:8	TYPE:NPC.Base	FACT:Abb|Ari	MAXLEVEL:NOLIMIT	SOURCEPAGE:DMG	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:AristocratLVL|0	BONUS:VAR|AristocratLVL|CL
CLASS:Aristocrat	PRETEXT:An aristocrat cannot be a multiclass character unless his or her first level is in the aristocrat class.												
CLASS:Aristocrat	STARTSKILLPTS:4	CSKILL:Appraise|Bluff|Diplomacy|Disguise|Forgery|Gather Information|Handle Animal|Intimidate|TYPE.Knowledge|Listen|TYPE.Perform|Ride|Sense motive|Speak Language|Spot|Swim|Survival											
1				ABILITY:Aristocrat Class Feature|AUTOMATIC|Aristocrat ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.AristocratProficiencies									
													
CLASS:Commoner	HD:4	TYPE:NPC.Base	FACT:Abb|Com	MAXLEVEL:NOLIMIT	SOURCEPAGE:DMG	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")/2|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:CommonerLVL|0	BONUS:VAR|CommonerLVL|CL
CLASS:Commoner	STARTSKILLPTS:2	CSKILL:Climb|TYPE.Craft|Handle Animal|Jump|Listen|TYPE.Profession|Ride|Spot|Swim|Use Rope											
1				ABILITY:Commoner Class Feature|AUTOMATIC|Commoner ~ Weapon and Armor Proficiency|!PREABILITY:1,CATEGORY=ACF,TYPE.CommonerProficiencies									
													
CLASS:Expert	HD:6	TYPE:NPC.Base	FACT:Abb|Exp	MAXLEVEL:NOLIMIT	SOURCEPAGE:DMG	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Reflex|classlevel("APPLIEDAS=NONEPIC")/3	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/2+2	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")*3/4|TYPE=Base.REPLACE|PREVAREQ:UseFractionalBAB,0	FACT:ClassType|NPC	ROLE:Skill	DEFINE:ExpertLVL|0	BONUS:VAR|ExpertLVL|CL
CLASS:Expert	STARTSKILLPTS:6												
