SOURCELONG:Gozzilioni Dungeons Master's Guide	SOURCESHORT:DMG	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.AdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Adepts are skilled with all simple weapons. Adepts are not proficient with any type of armor nor with shields.	KEY:Adept ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple								SORTKEY:Class_Adept	SOURCEPAGE:DMG	
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.AdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An adept casts divine spells (the same type of spells available to the cleric, druid, paladin, and ranger), which are drawn from the adept spell list (see below). Like a cleric, an adept must choose and prepare her spells in advance. Unlike a cleric, an adept cannot spontaneously cast cure or inflict spells. To prepare or cast a spell, an adept must have a Wisdom score equal to at least 10 + the spell level (Wis 10 for 0-level spells, Wis 11 for 1st-level spells, and so forth). The Difficulty Class for a saving throw against an adept's spell is 10 + the spell level + the adept's Wisdom modifier. Adepts, unlike wizards, do not acquire their spells from books or scrolls, nor do they prepare them through study. Instead, they meditate or pray for their spells, receiving them as divine inspiration or through their own strength of faith. Each adept must choose a time each day at which she must spend an hour in quiet contemplation or supplication to regain her daily allotment of spells. Time spent resting has no effect on whether an adept can prepare spells. Like other spellcasters, an adept can cast only a certain number of spells of each spell level per day. Her base daily spell allotment is given on Table 4-2: The Adept. In addition, she receives bonus spells per day if she has a high Wisdom score (see Table 1-1: Ability Modifiers and Bonus Spells, page 8 of the Player's Handbook). When Table 4-2 indicates that the adept gets 0 spells per day of a given spell level (for instance, 0 2nd-level spells for a 4th-level adept), she gains only the bonus spells she would be entitled to based on her Wisdom score for that spell level. Each adept has a particular holy symbol (as a divine focus) depending on the adept's magical tradition.	KEY:Adept ~ Spells																										SORTKEY:Class_Adept	SOURCEPAGE:DMG	
Familiar	CATEGORY:Special Ability	TYPE:ClassFeatures.AdeptClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, an adept can call a familiar, just as a sorcerer or wizard can. See the sidebar on page 52 of the Player's Handbook for more information.	KEY:Adept ~ Familiar									BONUS:VAR|FamiliarLVL|AdeptLVL									ABILITY:Internal|AUTOMATIC|Familiar (Base)								SORTKEY:Class_Adept	SOURCEPAGE:DMG	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.AristocratClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The aristocrat is proficient in the use of all simple and martial weapons and with all types of armor and shields.	KEY:Aristocrat ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Aristocrat	SOURCEPAGE:DMG	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.CommonerClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The commoner is proficient with one simple weapon. He is not proficient with any other weapons, nor is he proficient with any type of armor or shields.	KEY:Commoner ~ Weapon and Armor Proficiency									BONUS:ABILITYPOOL|Simple Weapon Proficiency Choice|1																	SORTKEY:Class_Commoner	SOURCEPAGE:DMG	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ExpertClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The expert is proficient in the use of all simple weapons and with light armor but not shields.	KEY:Expert ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfLight							SORTKEY:Class_Expert	SOURCEPAGE:DMG	
Skill	CATEGORY:Special Ability	TYPE:ClassFeatures.ExpertClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The expert can choose any ten skills to be class skills.	KEY:Expert ~ Skill									BONUS:ABILITYPOOL|Class Skill|10																	SORTKEY:Class_Expert	SOURCEPAGE:DMG	
Skill Level	CATEGORY:Special Ability	TYPE:ClassFeatures.ExpertClassFeatures.SpecialQuality	VISIBLE:YES		KEY:Expert ~ Skill Level									BONUS:VAR|SkillLVL|ExpertLVL							ABILITY:Special Ability|AUTOMATIC|Skill Level ~ Base										SORTKEY:Class_Expert	SOURCEPAGE:G	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.WarriorClassFeatures.SpecialQuality	VISIBLE:YES	DESC:The warrior is proficient in the use of all simple and martial weapons and all armor and shields.	KEY:Warrior ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfHeavy	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Warrior	SOURCEPAGE:DMG	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneArcherClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An arcane archer is proficient with all simple and martial weapons, light armor, medium armor, and shields.	KEY:Arcane Archer ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfMartial	ABILITY:Internal|AUTOMATIC|TYPE=ArmorProfMedium	ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf						SORTKEY:Class_Arcane_Archer	SOURCEPAGE:DMG	
Enhance Arrow	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneArcherClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 1st level, every nonmagical arrow an arcane archer nocks and lets fly becomes magical, gaining a +1 enhancement bonus. Unlike magic weapons created by normal means, the archer need not spend experience points or gold pieces to accomplish this task. However, an archer's magic arrows only function for her. For every two levels the character advances past 1st level in the prestige class, the magic arrows she creates gain +1 greater potency (+1 at 1st level, +2 at 3rd level, +3 at 5th level, +4 at 7th level, and +5 at 9th level).	KEY:Arcane Archer ~ Enhance Arrow				DEFINE:EnhanceArrowLVL|0					BONUS:VAR|EnhanceArrowLVL|(ArcaneArcherLVL+1)/2																	SORTKEY:Class_Arcane_Archer	SOURCEPAGE:DMG	ASPECT:Name|Enhance Arrow +%1|EnhanceArrowLVL
Imbue Arrow	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneArcherClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 2nd level, an arcane archer gains the ability to place an area spell upon an arrow. When the arrow is fired, the spell's area is centered on where the arrow lands, even if the spell could normally be centered only on the caster. This ability allows the archer to use the bow's range rather than the spell's range. It takes a standard action to cast the spell and fire the arrow. The arrow must be fired in the round the spell is cast, or the spell is wasted.	KEY:Arcane Archer ~ Imbue Arrow																										SORTKEY:Class_Arcane_Archer	SOURCEPAGE:DMG	
Seeker Arrow	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneArcherClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 4th level, an arcane archer can launch an arrow once per day at a target known to her within range, and the arrow travels to the target, even around corners. Only an unavoidable obstacle or the limit of the arrow's range prevents the arrow's flight. For example, if the target is within a windowless chamber with the door closed, the arrow cannot enter. This ability negates cover and concealment modifiers, but otherwise the attack is rolled normally. Using this ability is a standard action (and shooting the arrow is part of the action).	KEY:Arcane Archer ~ Seeker Arrow																										SORTKEY:Class_Arcane_Archer	SOURCEPAGE:DMG	
Phase Arrow	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneArcherClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 6th level, an arcane archer can launch an arrow once per day at a target known to her within range, and the arrow travels to the target in a straight path, passing through any nonmagical barrier or wall in its way. (A wall of force, a wall of fire, or the like stops the arrow.) This ability negates cover, concealment, and even armor modifiers, but otherwise the attack is rolled normally. Using this ability is a standard action (and shooting the arrow is part of the action).	KEY:Arcane Archer ~ Phase Arrow																										SORTKEY:Class_Arcane_Archer	SOURCEPAGE:DMG	
Hail Arrow	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneArcherClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:In lieu of her regular attacks, once per day an arcane archer of 8th level or higher can fire an arrow at each and every target within range, to a maximum of one target for every arcane archer level she has earned. Each attack uses the archer's primary attack bonus, and each enemy may only be targeted by a single arrow.	KEY:Arcane Archer ~ Hail Arrow																										SORTKEY:Class_Arcane_Archer	SOURCEPAGE:DMG	
Arrow of Death	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneArcherClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 10th level, an arcane archer can create an arrow of death that forces the target, if damaged by the arrow's attack, to make a DC 20 Fortitude save or be slain immediately. It takes one day to make an arrow of death, and the arrow only functions for the arcane archer who created it. The arrow of death lasts no longer than one year, and the archer can only have one such arrow in existence at a time.	KEY:Arcane Archer ~ Arrow of Death																										SORTKEY:Class_Arcane_Archer	SOURCEPAGE:DMG	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneTricksterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Arcane tricksters gain no proficiency with any weapon or armor.	KEY:Arcane Trickster ~ Weapon and Armor Proficiency																										SORTKEY:Class_Arcane_Trickster	SOURCEPAGE:DMG	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneTricksterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:When a new arcane trickster level is gained, the character gains new spells per day as if he had also gained a level in a spellcasting class he belonged to before adding the prestige class. He does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, metamagic or item creation feats, and so on), except for an increased effective level of spellcasting. If a character had more than one spellcasting class before becoming an arcane trickster, he must decide to which class he adds the new level for purposes of determining spells per day.	KEY:Arcane Trickster ~ Spells per Day																										SORTKEY:Class_Arcane_Trickster	SOURCEPAGE:DMG	
Ranged Legerdemain	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneTricksterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Using his unique talents, an arcane trickster can perform one of the following class skills at a range of 30 feet: Disable Device, Open Lock, or Sleight of Hand. Working at a distance increases the normal skill check DC by 5, and an arcane trickster cannot take 10 on this check. Any object to be manipulated must weigh 5 pounds or less. An arcane trickster can use ranged legerdemain once per day initially, twice per day upon attaining 5th level, and three times per day at 9th level or higher. He can make only one ranged legerdemain skill check each day, and only if he has at least 1 rank in the skill being used.	KEY:Arcane Trickster ~ Ranged Legerdemain				DEFINE:RangedLegerdemainTimes|0					BONUS:VAR|RangedLegerdemainTimes|(ArcaneTricksterLVL+3)/4																	SORTKEY:Class_Arcane_Trickster	SOURCEPAGE:DMG	ASPECT:Name|Ranged Legerdemain +%1/day|RangedLegerdemainTimes
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneTricksterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:This is exactly like the rogue ability of the same name. The extra damage dealt increases by +1d6 every other level (2nd, 4th, 6th, 8th, and 10th). If an arcane trickster gets a sneak attack bonus from another source (such as rogue levels), the bonuses on damage stack.	KEY:Arcane Trickster ~ Sneak Attack									BONUS:VAR|SneakAttackDice|ArcaneTricksterLVL/2									ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Arcane_Trickster	SOURCEPAGE:DMG	
Impromptu Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.ArcaneTricksterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Beginning at 3rd level, once per day an arcane trickster can declare one melee or ranged attack he makes to be a sneak attack (the target can be no more than 30 feet distant if the impromptu sneak attack is a ranged attack). The target of an impromptu sneak attack loses any Dexterity bonus to AC, but only against that attack. The power can be used against any target, but creatures that are not subject to critical hits take no extra damage (though they still lose any Dexterity bonus to AC against the attack). At 7th level, an arcane trickster can use this ability twice per day.	KEY:Arcane Trickster ~ Impromptu Sneak Attack				DEFINE:ImpromptuSneakAttackTimes|0					BONUS:VAR|ImpromptuSneakAttackTimes|(ArcaneTricksterLVL+1)/4																	SORTKEY:Class_Arcane_Trickster	SOURCEPAGE:DMG	
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.ArchmageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Archmages gain no proficiency with any weapon or armor.	KEY:Archmage ~ Weapon and Armor Proficiency																										SORTKEY:Class_Archmage	SOURCEPAGE:DMG	
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.ArchmageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:When a new archmage level is gained, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in whatever arcane spellcasting class in which he could cast 7th-level spells before he added the prestige class level. He does not, however, gain any other benefit a character of that class would have gained (bonus metamagic or item creation feats, and so on). If a character had more than one arcane spellcasting class in which he could cast 7th-level spells before he became an archmage, he must decide to which class he adds each level of archmage for the purpose of determining spells per day.	KEY:Archmage ~ Spells per Day																										SORTKEY:Class_Archmage	SOURCEPAGE:DMG	
High Arcana	CATEGORY:Special Ability	TYPE:ClassFeatures.ArchmageClassFeatures.SpecialQuality	VISIBLE:YES	DESC:An archmage learns secret lore unknown to lesser wizards and sorcerers. She gains the opportunity to select a special ability from among those described below by permanently eliminating one existing spell slot (she cannot eliminate a spell slot of higher level than the highest-level spell she can cast). Each special ability has a minimum required spell slot level, as specified in its description. For example, a 15thlevel wizard normally can cast two 7th-level spells per day (bonus spells for specialization or high Intelligence can increase this number). A 13th-level wizard/2nd-level archmage who chooses the arcane reach ability forfeits one 7th-level spell slot, and so can only cast one 7th-level spell per day, not counting bonus spells. An archmage may choose to eliminate a spell slot of a higher level than that required to gain a type of high arcana.	KEY:Archmage ~ High Arcana				DEFINE:HighArcanaLVL|0					BONUS:VAR|HighArcanaLVL|ArchmageLVL																	SORTKEY:Class_Archmage	SOURCEPAGE:DMG	
Arcane Fire	CATEGORY:Special Ability	TYPE:ClassFeatures.ArchmageClassFeatures.HighArcana.SpecialAttack	VISIBLE:YES	DESC:The archmage gains the ability to change arcane spell energy into arcane fire, manifesting it as a bolt of raw magical energy. The bolt is a ranged touch attack with long range (400 feet + 40 feet/level of archmage) that deals 1d6 points of damage per class level of the archmage plus 1d6 points of damage per level of the spell used to create the effect. For instance, a 5thlevel archmage who channels a 7th-level spell into arcane fire deals 12d6 points of damage to the target if it hits. This ability costs one 9th-level spell slot.	KEY:Archmage ~ High Arcana ~ Arcane Fire		PRECLASS:1,Archmage=1	PRESPELLTYPE:1,Arcane=9	DEFINE:HighArcanaDice|0	DEFINE:HighArcanaDieSize|0				BONUS:SPELLCAST|CLASS=%LIST;LEVEL=9|-1	BONUS:VAR|HighArcanaDieSize|6|TYPE=Base	BONUS:VAR|HighArcanaDice|ArchmageLVL			STACK:YES	MULT:YES	CHOOSE:CLASS|PC,SPELLTYPE=Arcane										SORTKEY:Class_Archmage	SOURCEPAGE:DMG	
Arcane Reach	CATEGORY:Special Ability	TYPE:ClassFeatures.ArchmageClassFeatures.HighArcana.SpecialQuality	VISIBLE:YES	DESC:The archmage can use spells with a range of touch on a target up to 30 feet away. The archmage must make a ranged touch attack. Arcane reach can be selected a second time as a special ability, in which case the range increases to 60 feet. This ability costs one 7th-level spell slot.	KEY:Archmage ~ High Arcana ~ Arcane Reach		PRECLASS:1,Archmage=1	PRESPELLTYPE:1,Arcane=7	DEFINE:ArcaneReach|0					BONUS:SPELLCAST|CLASS=%LIST;LEVEL=7|-1	BONUS:VAR|ArcaneReach|30*count("ABILITIES","CATEGORY=Special Ability","NAME=Arcane Reach")|TYPE=ArcaneReach				STACK:YES	MULT:YES	CHOOSE:NUMCHOICES=2|CLASS|PC,SPELLTYPE=Arcane										SORTKEY:Class_Archmage	SOURCEPAGE:DMG	
Mastery of Counterspelling	CATEGORY:Special Ability	TYPE:ClassFeatures.ArchmageClassFeatures.HighArcana.SpecialQuality	VISIBLE:YES	DESC:When the archmage counterspells a spell, it is turned back upon the caster as if it were fully affected by a spell turning spell. If the spell cannot be affected by spell turning (for example, if it is a spell that affects an area), then it is merely counterspelled. This ability costs one 7thlevel spell slot.	KEY:Archmage ~ High Arcana ~ Mastery of Counterspelling		PRECLASS:1,Archmage=1	PRESPELLTYPE:1,Arcane=7						BONUS:SPELLCAST|CLASS=%LIST;LEVEL=7|-1					STACK:YES	MULT:YES	CHOOSE:CLASS|PC,SPELLTYPE=Arcane										SORTKEY:Class_Archmage	SOURCEPAGE:DMG	
Mastery of Elements	CATEGORY:Special Ability	TYPE:ClassFeatures.ArchmageClassFeatures.HighArcana.SpecialQuality.Metamagic	VISIBLE:YES	DESC:The archmage can alter an arcane spell when cast so that it utilizes a different element from the one it normally uses. For example, an archmage could cast a fireball that deals sonic damage instead of fire damage. This ability can only alter a spell with the acid, cold, fire, electricity, or sonic descriptor. The spell's casting time is unaffected. The caster decides whether to alter the spell's energy type and chooses the new energy type when he begins casting. This ability costs one 8th-level spell slot.	KEY:Archmage ~ High Arcana ~ Mastery of Elements		PRECLASS:1,Archmage=1	PRESPELLTYPE:1,Arcane=8						BONUS:SPELLCAST|CLASS=%LIST;LEVEL=8|-1					STACK:YES	MULT:YES	CHOOSE:CLASS|PC,SPELLTYPE=Arcane										SORTKEY:Class_Archmage	SOURCEPAGE:DMG	
Mastery of Shaping	CATEGORY:Special Ability	TYPE:ClassFeatures.ArchmageClassFeatures.HighArcana.SpecialQuality	VISIBLE:YES	DESC:The archmage can alter area and effect spells that use one of the following shapes: burst, cone, cylinder, emanation, or spread. The alteration consists of creating spaces within the spell's area or effect that are not subject to the spell. The minimum dimension for these spaces is a 5-foot cube. For example, an archmage could cast a fireball and leave a hole where his ally stands, preventing any fire damage. Furthermore, any shapeable spells have a minimum dimension of 5 feet instead of 10 feet. This ability costs one 6thlevel spell slot.	KEY:Archmage ~ High Arcana ~ Mastery of Shaping		PRECLASS:1,Archmage=1	PRESPELLTYPE:1,Arcane=6						BONUS:SPELLCAST|CLASS=%LIST;LEVEL=6|-1					STACK:YES	MULT:YES	CHOOSE:CLASS|PC,SPELLTYPE=Arcane										SORTKEY:Class_Archmage	SOURCEPAGE:DMG	
Spell Power	CATEGORY:Special Ability	TYPE:ClassFeatures.ArchmageClassFeatures.HighArcana.SpecialQuality	VISIBLE:YES	DESC:This ability increases the archmage's effective caster level by +1 (for purposes of determining level-dependent spell variables such as damage dice or range, and caster level checks only). This ability costs one 5th-level spell slot.	KEY:Archmage ~ High Arcana ~ Spell Power		PRECLASS:1,Archmage=1	PRESPELLTYPE:1,Arcane=5						BONUS:SPELLCAST|CLASS=%LIST;LEVEL=5|-1	BONUS:CASTERLEVEL|TYPE.Arcane|1				STACK:YES	MULT:YES	CHOOSE:CLASS|PC,SPELLTYPE=Arcane										SORTKEY:Class_Archmage	SOURCEPAGE:DMG	
